(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2873, 2873)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2898, 2898)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2924, 2924)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 2951, 2951)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 3002, 3002)
(2, 'P-254', 'заезды', 'весь участок', 3, 840, 'Опоры освещения и контактной сети', 'Материал опоры', 'Металл', 3041, 3041)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2, 2)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 29, 29)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 59, 59)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', -127, -127)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 120, 120)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 150, 150)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 179, 179)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 213, 213)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 242, 242)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 272, 272)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 302, 302)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 332, 332)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 362, 362)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 392, 392)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 422, 422)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 452, 452)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 482, 482)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 502, 502)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 533, 533)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 563, 563)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1304, 1304)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 594, 594)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 625, 625)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 657, 657)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 688, 688)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 718, 718)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 740, 740)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 778, 778)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 805, 805)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 835, 835)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 873, 873)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 909, 909)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 946, 946)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 976, 976)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1005, 1005)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1036, 1036)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1066, 1066)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1096, 1096)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1126, 1126)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1147, 1147)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1186, 1186)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1216, 1216)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 1244, 1244)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2546, 2546)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2576, 2576)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2606, 2606)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2637, 2637)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2668, 2668)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2698, 2698)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2729, 2729)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2761, 2761)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2792, 2792)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2818, 2818)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2846, 2846)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2873, 2873)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2898, 2898)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2924, 2924)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 2951, 2951)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 3002, 3002)
(2, 'P-254', 'заезды', 'весь участок', 3, 841, 'Опоры освещения и контактной сети', 'Число светильников ', '1', 3041, 3041)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 2, 2)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 29, 29)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 59, 59)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', -127, -127)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 120, 120)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 150, 150)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 179, 179)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 213, 213)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 242, 242)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 272, 272)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 302, 302)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 332, 332)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 362, 362)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 392, 392)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 422, 422)
(2, 'P-254', 'заезды', 'весь участок', 3, 3247, 'Опоры освещения и контактной сети', 'Статус', 'факт', 452, 452)
